499.4,498.8,499.3,499.5,500.6,500,498.4,499.7,499.5
500.2,499.4,499.4,498.7,498.6,498.7,497.1,500.2,500
499.9,498.2,498.8,499.8,497.8,500.3,499.8,500.3,500.6
497.2,499.8,496.8,498.1,500.2,499.8,499,498.3,499.7
499.9,496.5,500.1,499.7,499.8,498,501.2,500.1,499.5
498.2,500.4,500.4,501.8,498.3,499.6,499.1,500.3,499.5
498.1,499.2,499,499.5,500.2,500,499.5,498.1,500.3
499.3,500.3,500.7,499.1,499.7,500.4,500.7,498.8,497.6
498.6,498.2,500.8,501.6,499.6,498.1,501.3,500.9,499.1
497.7,497.4,499.7,497.4,500.4,499,500.3,501.2,499.3
497.6,499.6,499,499.5,501.9,498.7,500.6,499.4,503
500.3,499.4,499.9,499,498.2,499.3,501.4,500.3,498.8
499.5,499.9,499,499.6,499.9,498.2,501.5,499.3,499.4
498.6,500,499.5,498.8,499.8,498.8,500.3,499.1,500.7
501.2,500.7,499.8,501.2,498.7,500.6,500.7,499.6,499.8
498.9,499.1,500.2,499.5,500.5,500.9,499,500,498.9
498.2,498.7,501.3,497.9,499.9,498.7,498.4,500.3,500.3
498.3,499.1,500.4,498.4,499.7,500.9,497.8,500.6,500
497.4,499.7,496.8,498.8,500.6,500.5,499.4,499.1,500.1
500.5,498.6,501,499.7,499.3,500.5,498,500.3,499.2
502.1,500.3,501.3,500.6,500.5,497.9,499.4,500.2,498.2
501.4,500.1,499.1,499,501.1,500.9,498.9,498.8,499
499,500.1,499.7,498.7,500,497.7,500.5,498.5,500.2
500.8,500.1,499.4,500.3,499.3,498.6,499,498,498.6
498,501.7,499.3,498.5,499.2,502.1,500.8,497.4,499.4
498.6,501.3,499.6,497.6,499.7,498.4,498.8,497.8,499.7
500.1,499.3,497.8,499.3,497.6,500.7,498.2,498.2,500.5
502.1,499.4,500.8,499.4,500.5,497.4,500.5,497.6,499.1
498.1,501,498.4,498.8,501,498.8,500.1,501.8,499.4
499.2,499.4,498,499.5,498.3,499.8,498.9,501.4,500.6
